id,name_x,species,breed,type,danger_level_x,variety,hunter_id_x,terrain_name,name_y,level,experience,terrain_visited,total_animals_hunted,hunter_id_y,climate,danger_level_y,rarity_factor,description
170,Jennifer,Bear,Indochinese,Herbivore,High,Rare,H031,Tundra,Ravi,7,2982,Volcano,43,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
171,John,Cheetah,Bengal,Predator,Medium,Rare,H013,Desert,Arjun,3,2868,Canyon,26,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
172,Gary,Rhino,Asian,Omnivore,Medium,Common,H027,Swamp,Ravi,10,1674,Forest,37,4,Wet,High,1.6,Murky lands with hidden threats
173,Courtney,Wolf,Asian,Omnivore,Low,Common,H034,Jungle,Dev,6,1404,Swamp,24,1,Humid,High,1.5,Dense forest with dangerous wild predators
174,Nicole,Tiger,Bengal,Herbivore,Medium,Rare,H088,City Ruins,Liam,4,959,Canyon,17,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
175,Janet,Elephant,Mountain,Omnivore,Low,Rare,H051,Forest,Reva,8,1830,Riverlands,11,3,Mild,Low,1.0,Balanced area with common animals
176,Anne,Leopard,African,Omnivore,Low,Common,H032,Canyon,Zara,10,1525,Desert,15,9,Hot,Medium,1.4,Narrow passages with ambush threats
177,James,Rhino,Bengal,Omnivore,High,Common,H009,Desert,Ravi,2,2615,Desert,31,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
178,Jesse,Elephant,Arctic,Herbivore,Low,Uncommon,H059,Desert,Meera,8,2418,Swamp,7,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
179,David,Zebra,Arctic,Herbivore,High,Uncommon,H045,Savanna,Zara,10,1016,Ruins,27,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
180,Alex,Cheetah,Asian,Herbivore,Medium,Uncommon,H083,Mountains,Arjun,10,391,Volcano,23,5,Cold,Medium,1.3,Rocky regions with agile animals
181,Jodi,Rhino,Mountain,Predator,Medium,Common,H039,Forest,Reva,1,1756,Ice Fields,6,3,Mild,Low,1.0,Balanced area with common animals
182,Megan,Tiger,Indochinese,Herbivore,Low,Uncommon,H095,Savanna,Tara,4,991,Mountain,41,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
183,Judith,Elephant,African,Herbivore,Medium,Rare,H009,Volcanic Zone,Ravi,2,2615,Desert,31,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
184,Darrell,Zebra,Bengal,Omnivore,Low,Rare,H054,Swamp,Kaira,6,1775,Volcano,48,4,Wet,High,1.6,Murky lands with hidden threats
185,Melvin,Lion,Sumatran,Omnivore,Medium,Uncommon,H053,Forest,Ravi,7,1120,Ice Fields,36,3,Mild,Low,1.0,Balanced area with common animals
186,Angela,Wolf,Asian,Herbivore,Medium,Common,H087,Mountains,Ravi,10,1093,Swamp,19,5,Cold,Medium,1.3,Rocky regions with agile animals
187,Megan,Rhino,Indian,Predator,Low,Common,H034,Volcanic Zone,Dev,6,1404,Swamp,24,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
188,Maurice,Elephant,Indian,Omnivore,Low,Common,H077,Forest,Liam,7,1283,Swamp,42,3,Mild,Low,1.0,Balanced area with common animals
189,Samantha,Zebra,Sumatran,Omnivore,High,Rare,H073,Tundra,Ravi,6,709,Canyon,25,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
190,Alejandro,Zebra,Bengal,Predator,Low,Uncommon,H097,Swamp,Dev,8,1256,Desert,9,4,Wet,High,1.6,Murky lands with hidden threats
191,Jonathan,Zebra,African,Predator,High,Uncommon,H030,Forest,Reva,3,524,Jungle,45,3,Mild,Low,1.0,Balanced area with common animals
192,Mark,Lion,Mountain,Omnivore,High,Rare,H038,Forest,Liam,9,2014,Swamp,36,3,Mild,Low,1.0,Balanced area with common animals
193,Anthony,Tiger,Siberian,Herbivore,Medium,Rare,H077,City Ruins,Liam,7,1283,Swamp,42,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
194,Fred,Tiger,African,Predator,Low,Rare,H057,City Ruins,Dev,7,1761,Ice Fields,26,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
195,Lisa,Lion,Indochinese,Predator,Low,Common,H043,City Ruins,Zara,5,964,Volcano,11,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
196,Michael,Cheetah,Arctic,Herbivore,Medium,Rare,H058,Mountains,Nikhil,9,1316,Volcano,19,5,Cold,Medium,1.3,Rocky regions with agile animals
197,David,Zebra,Siberian,Omnivore,Low,Common,H007,Tundra,Zara,4,994,Riverlands,44,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
198,Diane,Elephant,Indochinese,Omnivore,High,Rare,H036,Savanna,Dev,10,1402,Mountain,19,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
199,Ryan,Lion,Siberian,Omnivore,High,Rare,H029,City Ruins,Zara,5,1641,Canyon,48,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
200,William,Cheetah,Arctic,Omnivore,Low,Rare,H060,Tundra,Dev,3,1162,Mountain,50,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
201,Jeffrey,Leopard,Indian,Predator,High,Uncommon,H094,City Ruins,Ravi,8,627,Riverlands,46,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
202,Jose,Tiger,Arctic,Omnivore,High,Uncommon,H056,Volcanic Zone,Arjun,9,1920,Ruins,12,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
203,Christine,Rhino,Mountain,Predator,Low,Rare,H070,Mountains,Dev,1,1776,Volcano,38,5,Cold,Medium,1.3,Rocky regions with agile animals
204,Andrew,Rhino,Siberian,Herbivore,Low,Uncommon,H015,Desert,Dev,4,600,Jungle,19,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
205,Christine,Wolf,Indian,Herbivore,Low,Rare,H044,Canyon,Arjun,7,1338,Ruins,10,9,Hot,Medium,1.4,Narrow passages with ambush threats
206,Crystal,Elephant,Arctic,Herbivore,Medium,Rare,H004,Canyon,Liam,9,1375,Riverlands,41,9,Hot,Medium,1.4,Narrow passages with ambush threats
207,Levi,Giraffe,Siberian,Omnivore,Medium,Common,H035,Volcanic Zone,Ravi,4,792,Canyon,26,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
208,Ryan,Lion,African,Omnivore,High,Rare,H091,Jungle,Reva,8,2781,Mountain,22,1,Humid,High,1.5,Dense forest with dangerous wild predators
209,Chad,Elephant,Asian,Omnivore,Low,Uncommon,H079,City Ruins,Reva,2,1179,Desert,12,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
210,Kevin,Leopard,Bengal,Herbivore,High,Rare,H031,Swamp,Ravi,7,2982,Volcano,43,4,Wet,High,1.6,Murky lands with hidden threats
211,Christina,Giraffe,Indochinese,Predator,High,Uncommon,H032,Tundra,Zara,10,1525,Desert,15,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
212,Amber,Zebra,Bengal,Predator,Medium,Rare,H077,Tundra,Liam,7,1283,Swamp,42,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
213,Kevin,Leopard,Bengal,Herbivore,High,Uncommon,H053,Savanna,Ravi,7,1120,Ice Fields,36,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
214,Cindy,Leopard,Snow,Predator,High,Rare,H011,Forest,Kaira,3,1009,Ice Fields,14,3,Mild,Low,1.0,Balanced area with common animals
215,Zachary,Lion,Snow,Omnivore,Low,Rare,H069,Mountains,Reva,7,321,Mountain,40,5,Cold,Medium,1.3,Rocky regions with agile animals
216,Brian,Lion,Mountain,Predator,Low,Rare,H051,Canyon,Reva,8,1830,Riverlands,11,9,Hot,Medium,1.4,Narrow passages with ambush threats
217,Brad,Elephant,Arctic,Omnivore,Medium,Rare,H098,Volcanic Zone,Reva,2,2266,Mountain,8,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
218,Robert,Elephant,Bengal,Herbivore,High,Common,H077,Swamp,Liam,7,1283,Swamp,42,4,Wet,High,1.6,Murky lands with hidden threats
219,Scott,Rhino,Snow,Herbivore,High,Uncommon,H014,City Ruins,Zara,2,1239,Desert,27,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
220,Kara,Leopard,Indian,Omnivore,Medium,Uncommon,H008,Desert,Liam,6,2972,Riverlands,14,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
221,Steven,Lion,Indian,Predator,Medium,Uncommon,H088,Tundra,Liam,4,959,Canyon,17,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
222,Michael,Tiger,Indochinese,Omnivore,Low,Common,H079,Savanna,Reva,2,1179,Desert,12,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
223,Christopher,Wolf,Arctic,Omnivore,High,Common,H074,Mountains,Liam,5,473,Ruins,10,5,Cold,Medium,1.3,Rocky regions with agile animals
224,Joseph,Leopard,Mountain,Predator,Medium,Uncommon,H025,Desert,Reva,3,1677,Swamp,50,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
225,Grant,Wolf,Asian,Herbivore,High,Rare,H040,City Ruins,Ravi,1,850,Ruins,28,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
226,Bryan,Giraffe,Indian,Predator,Medium,Uncommon,H056,Mountains,Arjun,9,1920,Ruins,12,5,Cold,Medium,1.3,Rocky regions with agile animals
227,Tammy,Wolf,Snow,Herbivore,High,Uncommon,H074,Mountains,Liam,5,473,Ruins,10,5,Cold,Medium,1.3,Rocky regions with agile animals
228,Megan,Elephant,Indochinese,Omnivore,Medium,Uncommon,H095,Tundra,Tara,4,991,Mountain,41,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
229,Crystal,Cheetah,Mountain,Predator,Medium,Rare,H028,Savanna,Liam,5,2836,Desert,49,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
230,Kathryn,Tiger,Arctic,Omnivore,Low,Rare,H041,Volcanic Zone,Liam,5,1059,Volcano,39,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
231,Ariel,Giraffe,Sumatran,Omnivore,Low,Common,H022,Savanna,Zara,4,2500,Ruins,19,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
232,Mike,Bear,African,Predator,Medium,Common,H059,Swamp,Meera,8,2418,Swamp,7,4,Wet,High,1.6,Murky lands with hidden threats
233,George,Bear,Indian,Omnivore,Medium,Common,H066,Savanna,Dev,6,2668,Volcano,5,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
234,Ebony,Rhino,Mountain,Omnivore,Medium,Common,H012,Mountains,Dev,5,572,Canyon,5,5,Cold,Medium,1.3,Rocky regions with agile animals
235,Tammy,Giraffe,Indochinese,Herbivore,High,Common,H085,Canyon,Arjun,5,442,Ice Fields,49,9,Hot,Medium,1.4,Narrow passages with ambush threats
236,Kayla,Bear,Asian,Omnivore,Low,Rare,H067,Desert,Nikhil,1,2618,Riverlands,16,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
237,Ashley,Bear,Arctic,Predator,Medium,Rare,H076,Savanna,Dev,1,315,Forest,22,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
238,Darrell,Zebra,Siberian,Omnivore,Medium,Rare,H016,Savanna,Dev,4,2499,Jungle,11,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
239,Jean,Rhino,Bengal,Predator,High,Uncommon,H018,Canyon,Kaira,8,2257,Desert,22,9,Hot,Medium,1.4,Narrow passages with ambush threats
240,Daniel,Cheetah,Siberian,Herbivore,High,Common,H095,Forest,Tara,4,991,Mountain,41,3,Mild,Low,1.0,Balanced area with common animals
241,Aaron,Giraffe,Bengal,Herbivore,High,Rare,H021,Volcanic Zone,Reva,2,580,Desert,45,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
242,Lauren,Leopard,Mountain,Herbivore,High,Common,H033,Forest,Meera,9,761,Desert,50,3,Mild,Low,1.0,Balanced area with common animals
243,Raymond,Elephant,Arctic,Predator,Low,Rare,H016,Volcanic Zone,Dev,4,2499,Jungle,11,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
244,Karen,Bear,Sumatran,Omnivore,Medium,Rare,H017,Mountains,Liam,9,2480,Forest,23,5,Cold,Medium,1.3,Rocky regions with agile animals
245,Jerry,Leopard,Arctic,Predator,High,Uncommon,H062,Jungle,Tara,1,1900,Riverlands,50,1,Humid,High,1.5,Dense forest with dangerous wild predators
246,Linda,Cheetah,Asian,Omnivore,Medium,Rare,H020,City Ruins,Kaira,1,2637,Ice Fields,28,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
247,Levi,Elephant,African,Herbivore,Medium,Common,H044,City Ruins,Arjun,7,1338,Ruins,10,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
248,Brian,Leopard,Indian,Herbivore,Medium,Common,H091,Volcanic Zone,Reva,8,2781,Mountain,22,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
249,Nathan,Zebra,Sumatran,Predator,High,Rare,H064,City Ruins,Nikhil,3,1385,Desert,32,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
250,Carl,Lion,Mountain,Predator,Low,Uncommon,H005,Tundra,Kaira,4,1498,Mountain,19,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
251,Cheryl,Cheetah,Indian,Omnivore,Medium,Uncommon,H003,Volcanic Zone,Meera,3,1787,Volcano,42,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
252,Tina,Elephant,Siberian,Predator,Medium,Common,H012,Canyon,Dev,5,572,Canyon,5,9,Hot,Medium,1.4,Narrow passages with ambush threats
253,James,Tiger,Snow,Omnivore,Medium,Common,H067,Volcanic Zone,Nikhil,1,2618,Riverlands,16,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
254,Mitchell,Bear,Bengal,Predator,High,Uncommon,H078,Forest,Tara,3,1969,Desert,49,3,Mild,Low,1.0,Balanced area with common animals
255,Jessica,Leopard,African,Omnivore,High,Uncommon,H035,Tundra,Ravi,4,792,Canyon,26,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
256,Laura,Leopard,Indochinese,Predator,High,Common,H053,Forest,Ravi,7,1120,Ice Fields,36,3,Mild,Low,1.0,Balanced area with common animals
257,Emily,Leopard,Bengal,Omnivore,High,Rare,H048,Savanna,Nikhil,7,2229,Mountain,8,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
258,Elizabeth,Bear,Sumatran,Predator,High,Common,H087,Forest,Ravi,10,1093,Swamp,19,3,Mild,Low,1.0,Balanced area with common animals
259,Victor,Wolf,Snow,Predator,High,Rare,H011,Forest,Kaira,3,1009,Ice Fields,14,3,Mild,Low,1.0,Balanced area with common animals
260,Crystal,Elephant,African,Omnivore,Medium,Uncommon,H074,Jungle,Liam,5,473,Ruins,10,1,Humid,High,1.5,Dense forest with dangerous wild predators
261,Jeffrey,Lion,Mountain,Omnivore,High,Uncommon,H044,Jungle,Arjun,7,1338,Ruins,10,1,Humid,High,1.5,Dense forest with dangerous wild predators
262,Pamela,Tiger,Asian,Herbivore,Medium,Rare,H065,Volcanic Zone,Meera,8,206,Swamp,26,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
263,Kenneth,Zebra,Sumatran,Predator,Low,Common,H034,Volcanic Zone,Dev,6,1404,Swamp,24,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
264,Jacqueline,Bear,African,Predator,High,Common,H085,Volcanic Zone,Arjun,5,442,Ice Fields,49,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
265,Melvin,Cheetah,Bengal,Predator,Medium,Rare,H047,Tundra,Meera,9,541,Ice Fields,36,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
266,Melissa,Lion,African,Predator,Low,Uncommon,H011,Jungle,Kaira,3,1009,Ice Fields,14,1,Humid,High,1.5,Dense forest with dangerous wild predators
267,George,Cheetah,Snow,Omnivore,Medium,Rare,H044,Jungle,Arjun,7,1338,Ruins,10,1,Humid,High,1.5,Dense forest with dangerous wild predators
268,Douglas,Elephant,Indochinese,Predator,Low,Uncommon,H013,City Ruins,Arjun,3,2868,Canyon,26,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
269,Michael,Cheetah,Siberian,Omnivore,High,Rare,H082,Canyon,Dev,2,2294,Desert,6,9,Hot,Medium,1.4,Narrow passages with ambush threats
270,Jennifer,Elephant,Siberian,Herbivore,Low,Common,H003,Savanna,Meera,3,1787,Volcano,42,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
271,David,Elephant,Indochinese,Omnivore,Medium,Uncommon,H053,Jungle,Ravi,7,1120,Ice Fields,36,1,Humid,High,1.5,Dense forest with dangerous wild predators
272,Jennifer,Elephant,Snow,Predator,Low,Uncommon,H009,Savanna,Ravi,2,2615,Desert,31,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
273,Michelle,Lion,Bengal,Omnivore,Low,Uncommon,H037,Tundra,Tara,7,1073,Desert,36,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
274,Adam,Elephant,Indian,Herbivore,Low,Uncommon,H095,Volcanic Zone,Tara,4,991,Mountain,41,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
275,Michelle,Giraffe,Asian,Predator,High,Rare,H069,Volcanic Zone,Reva,7,321,Mountain,40,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
276,Manuel,Tiger,Arctic,Omnivore,High,Uncommon,H073,Desert,Ravi,6,709,Canyon,25,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
277,Erica,Rhino,Siberian,Herbivore,Low,Common,H068,Jungle,Dev,4,2020,Ruins,5,1,Humid,High,1.5,Dense forest with dangerous wild predators
278,Ronnie,Rhino,Snow,Omnivore,Low,Rare,H010,Canyon,Kaira,2,2495,Canyon,38,9,Hot,Medium,1.4,Narrow passages with ambush threats
279,Daniel,Cheetah,Bengal,Herbivore,Medium,Rare,H040,City Ruins,Ravi,1,850,Ruins,28,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
280,Veronica,Elephant,Indian,Omnivore,Medium,Rare,H099,City Ruins,Tara,9,2822,Ruins,31,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
281,Jeremy,Giraffe,Arctic,Omnivore,High,Common,H074,Tundra,Liam,5,473,Ruins,10,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
282,Janet,Cheetah,Sumatran,Predator,High,Rare,H025,Jungle,Reva,3,1677,Swamp,50,1,Humid,High,1.5,Dense forest with dangerous wild predators
283,Jessica,Lion,Bengal,Omnivore,Medium,Rare,H063,Jungle,Tara,2,1285,Swamp,43,1,Humid,High,1.5,Dense forest with dangerous wild predators
284,Dustin,Zebra,Indian,Omnivore,High,Common,H053,Canyon,Ravi,7,1120,Ice Fields,36,9,Hot,Medium,1.4,Narrow passages with ambush threats
285,Joshua,Tiger,African,Omnivore,Medium,Rare,H086,Desert,Zara,6,457,Ruins,32,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
286,Jason,Leopard,Asian,Predator,Medium,Common,H044,Forest,Arjun,7,1338,Ruins,10,3,Mild,Low,1.0,Balanced area with common animals
287,Brian,Elephant,Asian,Omnivore,Medium,Rare,H094,Forest,Ravi,8,627,Riverlands,46,3,Mild,Low,1.0,Balanced area with common animals
288,John,Zebra,Asian,Herbivore,High,Uncommon,H100,Tundra,Nikhil,1,611,Ice Fields,48,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
289,Katrina,Lion,Indian,Herbivore,Low,Rare,H036,Tundra,Dev,10,1402,Mountain,19,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
290,Amber,Leopard,Bengal,Herbivore,Low,Common,H072,Tundra,Tara,4,2685,Jungle,14,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
291,Christopher,Tiger,African,Predator,Medium,Uncommon,H041,Swamp,Liam,5,1059,Volcano,39,4,Wet,High,1.6,Murky lands with hidden threats
292,Evan,Zebra,Siberian,Omnivore,High,Common,H092,Savanna,Tara,7,1246,Forest,6,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
293,Donna,Elephant,Arctic,Predator,Low,Rare,H016,Tundra,Dev,4,2499,Jungle,11,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
294,Amy,Cheetah,Arctic,Omnivore,Low,Rare,H029,City Ruins,Zara,5,1641,Canyon,48,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
295,Sarah,Zebra,Siberian,Predator,Low,Common,H078,Savanna,Tara,3,1969,Desert,49,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
296,Joseph,Elephant,Indian,Predator,Medium,Rare,H019,Forest,Zara,4,1759,Canyon,14,3,Mild,Low,1.0,Balanced area with common animals
297,Joshua,Giraffe,Bengal,Predator,Low,Uncommon,H096,Desert,Arjun,5,228,Forest,42,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
298,Jeff,Rhino,Sumatran,Herbivore,High,Rare,H024,Canyon,Zara,9,1405,Ice Fields,45,9,Hot,Medium,1.4,Narrow passages with ambush threats
299,Joseph,Cheetah,Asian,Predator,High,Uncommon,H100,Canyon,Nikhil,1,611,Ice Fields,48,9,Hot,Medium,1.4,Narrow passages with ambush threats
300,David,Cheetah,Siberian,Herbivore,Low,Uncommon,H081,City Ruins,Dev,9,558,Ruins,16,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
301,Keith,Bear,Siberian,Herbivore,Low,Common,H017,Jungle,Liam,9,2480,Forest,23,1,Humid,High,1.5,Dense forest with dangerous wild predators
302,Michael,Lion,Sumatran,Herbivore,Low,Common,H057,Tundra,Dev,7,1761,Ice Fields,26,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
303,Corey,Wolf,Snow,Predator,Low,Rare,H063,Tundra,Tara,2,1285,Swamp,43,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
304,Jennifer,Lion,Arctic,Omnivore,Low,Common,H037,Jungle,Tara,7,1073,Desert,36,1,Humid,High,1.5,Dense forest with dangerous wild predators
305,Kathryn,Cheetah,Indochinese,Predator,Medium,Rare,H079,Swamp,Reva,2,1179,Desert,12,4,Wet,High,1.6,Murky lands with hidden threats
306,Ryan,Zebra,Bengal,Herbivore,Medium,Uncommon,H087,Mountains,Ravi,10,1093,Swamp,19,5,Cold,Medium,1.3,Rocky regions with agile animals
307,Frank,Cheetah,Siberian,Herbivore,Medium,Rare,H044,Tundra,Arjun,7,1338,Ruins,10,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
308,Mark,Zebra,Arctic,Predator,Medium,Common,H074,Mountains,Liam,5,473,Ruins,10,5,Cold,Medium,1.3,Rocky regions with agile animals
309,Diane,Leopard,Indochinese,Herbivore,High,Rare,H088,Volcanic Zone,Liam,4,959,Canyon,17,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
310,Denise,Tiger,Mountain,Omnivore,Low,Common,H058,Savanna,Nikhil,9,1316,Volcano,19,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
311,Stephen,Rhino,Mountain,Predator,Medium,Common,H032,Savanna,Zara,10,1525,Desert,15,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
312,Jose,Lion,Bengal,Omnivore,High,Common,H087,Mountains,Ravi,10,1093,Swamp,19,5,Cold,Medium,1.3,Rocky regions with agile animals
313,Christine,Zebra,Indian,Predator,High,Uncommon,H020,Volcanic Zone,Kaira,1,2637,Ice Fields,28,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
314,Raven,Lion,Mountain,Omnivore,High,Uncommon,H012,Swamp,Dev,5,572,Canyon,5,4,Wet,High,1.6,Murky lands with hidden threats
315,Jason,Zebra,Siberian,Predator,High,Uncommon,H008,Forest,Liam,6,2972,Riverlands,14,3,Mild,Low,1.0,Balanced area with common animals
316,Jonathan,Elephant,Indochinese,Predator,Low,Uncommon,H012,Canyon,Dev,5,572,Canyon,5,9,Hot,Medium,1.4,Narrow passages with ambush threats
317,Kimberly,Elephant,Asian,Predator,Low,Rare,H016,Mountains,Dev,4,2499,Jungle,11,5,Cold,Medium,1.3,Rocky regions with agile animals
318,Katherine,Cheetah,Asian,Predator,High,Common,H042,Savanna,Zara,7,2471,Desert,48,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
319,Melissa,Lion,Snow,Omnivore,Low,Uncommon,H099,Savanna,Tara,9,2822,Ruins,31,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
320,Brent,Leopard,African,Omnivore,High,Rare,H017,Swamp,Liam,9,2480,Forest,23,4,Wet,High,1.6,Murky lands with hidden threats
321,Tina,Tiger,Bengal,Herbivore,High,Rare,H081,City Ruins,Dev,9,558,Ruins,16,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
322,Nicole,Leopard,Bengal,Omnivore,Medium,Rare,H063,City Ruins,Tara,2,1285,Swamp,43,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
323,Nancy,Giraffe,Asian,Predator,Medium,Rare,H048,Volcanic Zone,Nikhil,7,2229,Mountain,8,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
324,Alicia,Leopard,Siberian,Predator,Medium,Uncommon,H030,Forest,Reva,3,524,Jungle,45,3,Mild,Low,1.0,Balanced area with common animals
325,Andrew,Rhino,Mountain,Herbivore,High,Rare,H033,Desert,Meera,9,761,Desert,50,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
326,David,Rhino,Mountain,Omnivore,Medium,Common,H051,Mountains,Reva,8,1830,Riverlands,11,5,Cold,Medium,1.3,Rocky regions with agile animals
327,Emily,Lion,Bengal,Omnivore,Low,Rare,H084,Swamp,Liam,7,1509,Forest,34,4,Wet,High,1.6,Murky lands with hidden threats
328,Jason,Elephant,Asian,Herbivore,High,Rare,H005,City Ruins,Kaira,4,1498,Mountain,19,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
329,Ruth,Tiger,Sumatran,Predator,Low,Common,H017,Forest,Liam,9,2480,Forest,23,3,Mild,Low,1.0,Balanced area with common animals
330,Larry,Lion,Arctic,Predator,Low,Common,H062,City Ruins,Tara,1,1900,Riverlands,50,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
331,Ryan,Leopard,Indian,Herbivore,Medium,Uncommon,H003,Canyon,Meera,3,1787,Volcano,42,9,Hot,Medium,1.4,Narrow passages with ambush threats
332,Julia,Lion,Snow,Predator,Low,Rare,H094,Canyon,Ravi,8,627,Riverlands,46,9,Hot,Medium,1.4,Narrow passages with ambush threats
333,Frederick,Rhino,Mountain,Omnivore,Low,Rare,H097,Savanna,Dev,8,1256,Desert,9,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
334,Karen,Giraffe,Indochinese,Herbivore,Low,Common,H097,City Ruins,Dev,8,1256,Desert,9,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
335,John,Zebra,Mountain,Herbivore,Medium,Rare,H065,Savanna,Meera,8,206,Swamp,26,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
336,Shawn,Tiger,Asian,Omnivore,High,Uncommon,H082,Forest,Dev,2,2294,Desert,6,3,Mild,Low,1.0,Balanced area with common animals
337,Hayley,Wolf,Sumatran,Omnivore,High,Uncommon,H025,Savanna,Reva,3,1677,Swamp,50,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
338,Cody,Giraffe,Asian,Herbivore,Low,Rare,H089,Swamp,Ravi,9,334,Volcano,12,4,Wet,High,1.6,Murky lands with hidden threats
